smiles,150-10,200-10,300-10,150-20,200-20,300-20
O=C(OC)C1=CC(O)=CC(C(OC)=O)=C1,0.93,0.92,0.94,0.95,0.93,0.95
OC1=C([N+]([O-])=O)C=CC=C1Br,0.39,0.30,0.07,0.24,0.18,0.04
NC(C1=CC=CC=C12)=C(C)C=C2C3=CC(C)=C(N)C4=CC=CC=C34,1.00,1.00,1.00,1.00,1.00,1.00
N[C@@H](C1=CC=C(OC)C=C1)C,0.73,0.68,0.68,0.77,0.68,0.69
COC1=CC(=C(C=C1)C(=O)C2=CC=CC=C2)O,0.89,0.89,0.87,0.93,0.90,0.89
O=C(C1=CC=CC=C1)C2=CC=C(OC)C=C2O,0.57,0.35,0.54,0.58,0.40,0.40
CC(=NC#N)N(C)CC1=CN=C(C=C1)Cl,0.82,0.80,0.84,0.85,0.85,0.86
CCN(CC)C(C1=CC=CC(C(N(CC)CC)=O)=C1)=O,1.00,0.99,1.00,1.00,1.00,1.00
N#CC1=CC(Cl)=C(Cl)C=C1C#N,0.85,0.81,0.78,0.83,0.78,0.71
C1=CC=C(C=C1)OC2=CC=C(C=C2)N,0.42,0.20,0.35,0.46,0.30,0.26
COc1ncc(Br)cn1,0.33,0.24,0.16,0.28,0.34,0.35
ClC1=NN=C(Cl)C=C1,0.12,0.12,0.10,0.21,0.19,0.15
NC1=CC=CC(N)=N1,0.50,0.53,0.58,0.61,0.64,0.71
O=CC1=CC=C(C=O)C=C1,0.48,0.37,0.49,0.59,0.46,0.60
O=C1C2=C(C3=C1C=C(Br)C=C3)C=CC(Br)=C2,0.75,0.71,0.77,0.79,0.75,0.81
OCc1c2ccccc2cc3ccccc13,0.89,0.90,0.92,0.94,0.94,0.95
CCN(C1=CC2=C(C=C1C3=O)OCO2)C=C3C(O)=O,0.97,0.98,0.99,0.97,0.99,0.99
OC1=CC(Br)=C(O)C=C1Br,0.62,0.61,0.66,0.72,0.74,0.76
FC(F)(F)C(C1=CC=C(O)C=C1)(C2=CC=C(O)C=C2)C(F)(F)F,0.99,0.99,0.99,1.00,1.00,0.99
Nc1ccc(cc1)C(O)=O,0.72,0.73,0.75,0.86,0.85,0.85
COc1ccc(O)cc1,0.21,0.18,0.17,0.28,0.27,0.21
COC1=CC=C(C=C1)OC,0.18,0.14,0.11,0.24,0.16,0.08
COC1=CC=C(OC)C=C1,0.19,0.26,0.26,0.30,0.39,0.35
OC(CC1=C(C=CC=C1)NC2=C(C=CC=C2Cl)Cl)=O,0.99,0.99,0.99,1.00,0.99,0.99
BrCC1=C(CBr)C=C(CBr)C(CBr)=C1,0.99,0.98,0.96,0.98,0.97,0.95
C1=CC=C2C(=C1)C3=CC=CC=C3C2(C4=CC=C(C=C4)N)C5=CC=C(C=C5)N,1.00,1.00,1.00,0.99,1.00,1.00
C1=CC2=C(NC=C2C(=O)O)N=C1,0.77,0.77,0.80,0.86,0.86,0.85
CC(CC1=CC=C(C(C(O)=O)C)C=C1)C,0.99,0.99,0.98,0.99,0.99,0.99
OC1=CC=C(C2=CC(C3=CC=C(O)C=C3)=CC(C4=CC=C(O)C=C4)=C2)C=C1,1.00,1.00,1.00,1.00,1.00,1.00
C1=CC(=C(C=C1C(=O)O)[N+](=O)[O-])N,0.58,0.44,0.60,0.71,0.56,0.70
C1=CC(=CC=C1C#N)C2=CC=C(C=C2)C#N,0.73,0.72,0.78,0.84,0.85,0.87
CC1=CC(=CC(=C1)Br)Br,0.45,0.28,0.62,0.61,0.41,0.61
OC1=C(N)C=C(N)C(O)=C1,0.18,0.12,0.24,0.35,0.29,0.36
C1=CC=C2C(=C1)C(C3=CC=CC=C32)O,0.80,0.74,0.73,0.82,0.72,0.65
O=Cc1ccccc1,0.18,0.13,0.18,0.28,0.18,0.28
CN1CC(=O)N2[C@H](Cc3c([nH]c4ccccc34)[C@H]2c2ccc3c(c2)OCO3)C1=O,1.00,1.00,1.00,1.00,1.00,1.00
C=Cc1ccc(C(C)(C)C)cc1,0.93,0.90,0.90,0.94,0.89,0.87
CC1=CN=C(C=C1)C2=NC=C(C=C2)C,1.00,1.00,1.00,1.00,1.00,1.00
N#CC1=C(F)C(F)=C(C#N)C(F)=C1F,0.94,0.94,0.95,0.97,0.97,0.97
N#CC1=C(F)C(F)=C(C#N)C(F)=C1F,0.97,0.97,0.95,0.97,0.97,0.95
C1=CN=C(C=C1Br)C2=NC=CC(=C2)Br,0.71,0.70,0.75,0.83,0.83,0.85
OC1=C(C2=C(C=CC=C3)C3=CC=C2O)C(C=CC=C4)=C4C=C1,1.00,1.00,1.00,1.00,1.00,1.00
O=C1N(C2=CC=C(S(=O)(O)=O)C=C2)N=C(C(O)=O)C1N=NC3=CC=C(S(=O)(O)=O)C=C3,1.00,1.00,1.00,1.00,1.00,1.00
OC1=CC=C(O)C=C1C(C)(C)C,0.99,0.99,0.98,0.99,0.99,0.98
COC1=CC(OC)=CC(Br)=C1,0.72,0.68,0.73,0.77,0.73,0.78
O=C1NC2=CC=C([N+]([O-])=O)C=C2C1,0.79,0.77,0.76,0.78,0.80,0.75
COC1=C(C=C2C(=C1)CCC2=O)OC,0.89,0.89,0.88,0.93,0.91,0.90
CC1=CC(=O)OC2=CC(=CC(=C12)O)O,0.76,0.59,0.73,0.74,0.59,0.55
CNC(=N[N+](=O)[O-])NCC1=CN=C(S1)Cl,0.94,0.93,0.94,0.95,0.96,0.96
O=C(C1=CC=CC=C1)CBr,0.40,0.42,0.34,0.52,0.52,0.47
O=C([C@H](C1=CC2=CC=C(OC)C=C2C=C1)C)O,0.98,0.98,0.98,0.98,0.99,0.99
C1=CC2=C(C=CC=C2N)C(=C1)N,0.59,0.55,0.57,0.65,0.60,0.59
C1CCN(C1)c2cc[nH+]cc2,0.90,0.91,0.91,0.93,0.94,0.94
