stage_cut,ss_ee_Rr,ss_ee_Rp,ss_ee_Sr,ss_ee_Sp,ss_rec_Rr,ss_rec_Rp,ss_rec_Sr,ss_rec_Sp,srr_ee_R,srr_ee_S,srr_rec_R,srr_rec_S,c01_ee_Rr,c01_ee_Rp,c01_ee_Sr,c01_ee_Sp,c01_rec_Rr,c01_rec_Rp,c01_rec_Sr,c01_rec_Sp
0.01,-98.0,-98.0,98.0,98.0,98.99989897969492,1.0001010203050813,98.99989897969492,1.0001010203050813,-0.9800000000000038,0.9800000000000038,50.01010101010098,50.999999999999964,-98.00000000000001,-98.00000000000001,98.00000000000001,98.00000000000001,99.01960784313727,0.9803921568627345,99.01960784313725,0.980392156862746
0.02010204081632653,-98.0,-98.0,98.0,98.0,97.99959587795514,2.0004041220448574,97.99959587795514,2.0004041220448574,-1.969999999999997,1.969999999999997,49.510101010100925,51.499999999999915,-98.00000000000001,-98.00000000000001,98.00000000000001,98.00000000000001,98.02862204704309,1.9713779529569138,98.02862204704309,1.9713779529569149
0.030204081632653063,-98.0,-98.0,98.0,98.0,96.9990906335253,3.0009093664746893,96.9990906335253,3.0009093664746893,-2.9600000000000044,2.9600000000000044,49.010101010101046,52.00000000000004,-98.00000000000001,-98.00000000000001,98.00000000000001,98.00000000000001,97.03704914281978,2.9629508571802177,97.03704914281978,2.962950857180214
0.04030612244897959,-98.0,-98.0,98.0,98.0,95.9983831851253,4.001616814874697,95.9983831851253,4.001616814874697,-3.9499999999999797,3.9499999999999797,48.51010101010117,52.50000000000015,-98.00000000000001,-98.0,98.00000000000001,98.0,96.04489468548688,3.955105314513119,96.04489468548688,3.9551053145131174
0.05040816326530612,-98.0,-98.0,98.0,98.0,94.99747347145022,5.002526528549773,94.99747347145022,5.002526528549773,-4.940000000000007,4.940000000000007,48.010101010100996,52.99999999999999,-98.0,-98.0,98.0,98.0,95.05216424378197,4.947835756218026,95.05216424378199,4.9478357562180175
0.06051020408163265,-98.0,-98.0,98.0,98.0,93.9963614311704,6.003638568829594,93.9963614311704,6.003638568829594,-5.9300000000000175,5.9300000000000175,47.510101010100975,53.49999999999997,-98.00000000000001,-97.99999999999999,98.00000000000001,97.99999999999999,94.05886340006725,5.941136599932747,94.05886340006728,5.941136599932718
0.07061224489795918,-98.0,-98.0,98.0,98.0,92.99504700293136,7.004952997068635,92.99504700293136,7.004952997068635,-6.919999999999991,6.919999999999991,47.01010101010103,54.0,-98.0,-98.0,98.0,98.0,93.06499775023521,6.935002249764793,93.0649977502352,6.935002249764802
0.08071428571428571,-98.0,-98.0,98.0,98.0,91.99353012535381,8.006469874646179,91.99353012535381,8.006469874646179,-7.9100000000000295,7.9100000000000295,46.5101010101009,54.49999999999989,-98.00000000000001,-98.00000000000001,98.00000000000001,98.00000000000001,92.07057290361386,7.929427096386135,92.07057290361385,7.929427096386144
0.09081632653061224,-98.0,-98.0,98.0,98.0,90.99181073703366,9.008189262966333,90.99181073703366,9.008189262966333,-8.900000000000004,8.900000000000004,46.010101010100996,54.99999999999999,-98.00000000000001,-97.99999999999999,98.00000000000001,97.99999999999999,91.07559448287154,8.924405517128463,91.07559448287154,8.92440551712846
0.10091836734693876,-98.0,-98.0,98.0,98.0,89.98988877654196,10.01011122345804,89.98988877654196,10.01011122345804,-9.890000000000004,9.890000000000004,45.510101010101,55.49999999999999,-98.00000000000001,-98.00000000000001,98.00000000000001,98.00000000000001,90.08006812392085,9.919931876079147,90.08006812392085,9.919931876079144
0.11102040816326529,-98.0,-98.0,98.0,98.0,88.98776418242491,11.012235817575085,88.98776418242491,11.012235817575085,-10.88000000000001,10.88000000000001,45.01010101010098,55.999999999999986,-98.0,-98.00000000000001,98.0,98.00000000000001,89.08399947582231,10.91600052417769,89.08399947582231,10.916000524177697
0.12112244897959183,-98.0,-98.0,98.0,98.0,87.98543689320388,12.014563106796116,87.98543689320388,12.014563106796116,-11.869999999999992,11.869999999999992,44.51010101010105,56.50000000000005,-98.0,-98.0,98.0,98.0,88.08739420068711,11.912605799312885,88.08739420068716,11.912605799312846
0.13122448979591836,-98.0,-98.0,98.0,98.0,86.98290684737535,13.01709315262466,86.98290684737535,13.01709315262466,-12.85999999999999,12.85999999999999,44.010101010101046,57.00000000000003,-97.99999999999999,-98.0,97.99999999999999,98.0,87.09025797357985,12.909742026420147,87.09025797357984,12.909742026420155
0.1413265306122449,-98.0,-98.0,98.0,98.0,85.98017398341088,14.019826016589118,85.98017398341088,14.019826016589118,-13.849999999999993,13.849999999999993,43.510101010101,57.499999999999986,-98.00000000000001,-97.99999999999999,98.00000000000001,97.99999999999999,86.09259648241976,13.907403517580235,86.0925964824198,13.907403517580203
0.15142857142857144,-98.0,-98.0,98.0,98.0,84.9772382397572,15.022761760242792,84.9772382397572,15.022761760242792,-14.839999999999993,14.839999999999993,43.010101010101025,58.00000000000002,-98.0,-98.0,98.0,98.0,85.0944154278827,14.905584572117306,85.0944154278827,14.905584572117306
0.16153061224489795,-98.0,-98.0,98.0,98.0,83.9740995548361,16.025900445163902,83.9740995548361,16.025900445163902,-15.830000000000014,15.830000000000014,42.51010101010099,58.499999999999986,-98.00000000000001,-98.00000000000001,98.00000000000001,98.00000000000001,84.0957205233012,15.904279476698804,84.09572052330115,15.904279476698841
0.1716326530612245,-98.0,-98.0,98.0,98.0,82.97075786704441,17.02924213295558,82.97075786704441,17.02924213295558,-16.820000000000007,16.820000000000007,42.010101010100996,58.999999999999986,-97.99999999999999,-97.99999999999999,97.99999999999999,97.99999999999999,83.096517494565,16.903482505434994,83.09651749456502,16.90348250543498
0.18173469387755103,-98.0,-98.0,98.0,98.0,81.96721311475409,18.0327868852459,81.96721311475409,18.0327868852459,-17.810000000000002,17.810000000000002,41.51010101010099,59.49999999999997,-97.99999999999999,-98.0,97.99999999999999,98.0,82.09681208002061,17.903187919979388,82.09681208002058,17.903187919979413
0.19183673469387755,-98.0,-98.0,98.0,98.0,80.9634652363121,19.036534763687886,80.9634652363121,19.036534763687886,-18.799999999999994,18.799999999999994,41.01010101010102,60.00000000000001,-98.00000000000001,-98.00000000000001,98.00000000000001,98.00000000000001,81.0966100303702,18.9033899696298,81.09661003037019,18.903389969629814
0.2019387755102041,-98.0,-98.0,98.0,98.0,79.95951417004049,20.04048582995952,79.95951417004049,20.04048582995952,-19.789999999999992,19.789999999999992,40.51010101010103,60.50000000000002,-98.00000000000001,-98.00000000000001,98.00000000000001,98.00000000000001,80.0959171085702,19.904082891429795,80.09591710857023,19.904082891429766
0.2120408163265306,-98.0,-98.0,98.0,98.0,78.95535985423625,21.04464014576374,78.95535985423625,21.04464014576374,-20.779999999999998,20.779999999999998,40.01010101010101,61.0,-98.00000000000001,-98.00000000000001,98.00000000000001,98.00000000000001,79.09473908972949,20.905260910270513,79.0947390897295,20.905260910270496
0.22214285714285714,-98.0,-98.0,98.0,98.0,77.9510022271715,22.04899777282851,77.9510022271715,22.04899777282851,-21.769999999999985,21.769999999999985,39.51010101010104,61.50000000000002,-98.0,-98.00000000000001,98.0,98.00000000000001,78.09308176100632,21.906918238993683,78.0930817610063,21.906918238993693
0.23224489795918368,-98.0,-98.0,98.0,98.0,76.94644122709323,23.053558772906754,76.94644122709323,23.053558772906754,-22.759999999999987,22.759999999999987,39.010101010101046,62.000000000000036,-98.0,-98.0,98.0,98.0,77.09095092150562,22.909049078494377,77.09095092150567,22.909049078494338
0.2423469387755102,-98.0,-98.0,98.0,98.0,75.94167679222356,24.05832320777643,75.94167679222356,24.05832320777643,-23.74999999999998,23.74999999999998,38.510101010101,62.499999999999964,-98.00000000000001,-98.00000000000001,98.00000000000001,98.00000000000001,76.08835238217546,23.911647617824542,76.08835238217543,23.91164761782457
0.2524489795918367,-98.0,-98.0,98.0,98.0,74.93670886075948,25.063291139240505,74.93670886075948,25.063291139240505,-24.740000000000002,24.740000000000002,38.010101010101025,63.00000000000002,-98.0,-98.0,98.0,98.0,75.08529196570235,24.914708034297647,75.08529196570237,24.91470803429764
